,investor,dealyear,totalUSD,counttotal,greenUSD,countgreen,brownUSD,countbrown,signatory,treatment,country,region,yearest,strategy,capsources,historicfunds,activeyears,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
103,180 Degree Capital,2018,4.409090909,2,0,0,0,0,0,0,US,North America,2017,Venture Capital,Balance Sheet,,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
104,1848 Capital Partners,2011,0,1,0,0,0,0,0,0,US,North America,2003,Buyout,,,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
105,1848 Capital Partners,2015,0,1,0,0,0,0,0,0,US,North America,2003,Buyout,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
106,1848 Capital Partners,2018,0,1,0,0,0,0,0,0,US,North America,2003,Buyout,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
107,1898 Venture Capital,2016,1.933333333,1,0,0,0,0,0,0,China,Asia,2015,Venture Capital,Private Equity Funds,15.11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
108,1898 Venture Capital,2017,1.2675,3,0,0,0,0,0,0,China,Asia,2015,Venture Capital,Private Equity Funds,15.11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
109,1898 Venture Capital,2018,4.826666667,3,0,0,0,0,0,0,China,Asia,2015,Venture Capital,Private Equity Funds,15.11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
110,1898 Venture Capital,2019,3.548333333,3,0,0,0,0,0,0,China,Asia,2015,Venture Capital,Private Equity Funds,15.11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
111,1955 Capital,2016,1.7,1,0,0,0,0,0,0,US,North America,2015,Venture Capital,Private Equity Funds,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
112,1955 Capital,2017,1.833333333,1,1.833333333,1,0,0,0,0,US,North America,2015,Venture Capital,Private Equity Funds,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
113,1955 Capital,2019,6.6,1,0,0,0,0,0,0,US,North America,2015,Venture Capital,Private Equity Funds,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
114,1984 Ventures,2017,0.171428571,1,0,0,0,0,0,0,US,North America,2017,Venture Capital,Private Equity Funds,42.3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
115,1984 Ventures,2018,0.733333333,1,0,0,0,0,0,0,US,North America,2017,Venture Capital,Private Equity Funds,42.3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
116,1984 Ventures,2019,3.92,2,0,0,0,0,0,0,US,North America,2017,Venture Capital,Private Equity Funds,42.3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
117,1Crowd,2016,0.433333333,2,0,0,0,0,0,0,India,Asia,2015,Venture Capital,Private Equity Funds,3.53,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
118,1Crowd,2017,0.635,2,0,0,0,0,0,0,India,Asia,2015,Venture Capital,Private Equity Funds,3.53,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
119,1Crowd,2018,0.4325,5,0,0,0,0,0,0,India,Asia,2015,Venture Capital,Private Equity Funds,3.53,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
120,1Crowd,2019,0.5,1,0,0,0,0,0,0,India,Asia,2015,Venture Capital,Private Equity Funds,3.53,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
121,1confirmation,2017,2.333333333,3,0,0,0,0,0,0,US,North America,2017,Venture Capital,Private Equity Funds,76,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
122,1confirmation,2018,5.681111111,6,0,0,0,0,0,0,US,North America,2017,Venture Capital,Private Equity Funds,76,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
123,1confirmation,2019,4,2,0,0,0,0,0,0,US,North America,2017,Venture Capital,Private Equity Funds,76,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
124,20/20 HealthCare Partners,2008,12,1,0,0,0,0,0,0,US,North America,NA,Venture Capital,Balance Sheet,,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
125,20/20 HealthCare Partners,2009,6.15,2,0,0,0,0,0,0,US,North America,NA,Venture Capital,Balance Sheet,,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
126,20/20 HealthCare Partners,2010,1.9,1,0,0,0,0,0,0,US,North America,NA,Venture Capital,Balance Sheet,,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
127,20/20 HealthCare Partners,2012,0,1,0,0,0,0,0,0,US,North America,NA,Venture Capital,Balance Sheet,,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
128,20/20 HealthCare Partners,2015,2.5,1,0,0,0,0,0,0,US,North America,NA,Venture Capital,Balance Sheet,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
129,2020 Ventures,2010,0.15,1,0,0,0,0,0,0,US,North America,2009,Venture Capital,Balance Sheet,,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
130,2020 Ventures,2011,0.36,2,0,0,0,0,0,0,US,North America,2009,Venture Capital,Balance Sheet,,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
131,2020 Ventures,2013,0.433333333,1,0,0,0,0,0,0,US,North America,2009,Venture Capital,Balance Sheet,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
132,2020 Ventures,2014,1.525,3,0,0,0,0,0,0,US,North America,2009,Venture Capital,Balance Sheet,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
133,2020 Ventures,2016,2.75,1,0,0,0,0,0,0,US,North America,2009,Venture Capital,Balance Sheet,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
